id,fiscal_year,budget_stage,agency,region,province,city_municipality,possible_congressional_district,implementing_office,project_title,project_type,amount,amount_display,location_clarity,title_specificity,needs_manual_review_score,review_label,review_reason,is_large_allocation_score,citizen_readability,source_name,source_url,source_page,source_pdf_page,row_level,parent_row_id,is_leaf,extraction_confidence,extraction_note,raw_text
DPWH-2026-020-00113,2026,NEP,DPWH,National Capital Region (NCR),,,,,"Maintenance, Repair   and Rehabilitation of Infrastructure Facilities and Other Related Activities = Operation of Weighbridge Stations and ATOME",other,231491000.0,"₱231,491,000",region_only,broad,0.79,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,733,20,regional_summary,DPWH-2026-020-00112,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,National Capital Region (NCR)
DPWH-2026-020-00114,2026,NEP,DPWH,National Capital Region (NCR),,,,Central Office,"Maintenance, Repair   and Rehabilitation of Infrastructure Facilities and Other Related Activities = Operation of Weighbridge Stations and ATOME",bridge,231491000.0,"₱231,491,000",region_only,broad,0.76,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,733,20,office_allocation,DPWH-2026-020-00113,1,source_linked,Coordinate-extracted from the official PDF; check the source page before interpretation.,Central Office
DPWH-2026-019-00106,2026,NEP,DPWH,National Capital Region (NCR),,,,,"Infrastructure  Research, Quality Control and Management, Ancillary Facilities",other,231335000.0,"₱231,335,000",region_only,broad,0.83,Broad Project Title,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,732,19,program_summary,,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,"Infrastructure  Research, Quality Control and Management, Ancillary Facilities"
DPWH-2026-019-00107,2026,NEP,DPWH,National Capital Region (NCR),,,,,"Infrastructure   Research, Quality Control and Management, Ancillary Facilities",other,231335000.0,"₱231,335,000",region_only,broad,0.84,Broad Project Title,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,732,19,regional_summary,DPWH-2026-019-00106,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,National Capital Region (NCR)
DPWH-2026-019-00108,2026,NEP,DPWH,National Capital Region (NCR),,,,Central Office,"Infrastructure   Research, Quality Control and Management, Ancillary Facilities",unknown,231335000.0,"₱231,335,000",region_only,broad,0.82,Broad Project Title,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,732,19,office_allocation,DPWH-2026-019-00107,1,source_linked,Coordinate-extracted from the official PDF; check the source page before interpretation.,Central Office
DPWH-2026-086-01025,2026,NEP,DPWH,Region V - Bicol,,,,,’   Replacement of Permanent Weak Bridges,bridge,231000000.0,"₱231,000,000",region_only,specific,0.77,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,799,86,regional_summary,DPWH-2026-084-01010,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region V - Bicol
DPWH-2026-044-00428,2026,NEP,DPWH,Region VIII - Eastern Visayas,,,,,Rehabilitation /   Reconstruction / Upgrading of Damaged Paved Roads - Secondary Roads,road,230884000.0,"₱230,884,000",region_only,specific,0.78,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,757,44,regional_summary,DPWH-2026-040-00397,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region VIII - Eastern Visayas
DPWH-2026-175-02016,2026,NEP,DPWH,National Capital Region (NCR),,,,,GOP Counterpart,other,228021000.0,"₱228,021,000",region_only,broad,0.87,Broad Project Title,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,888,175,budget_line,DPWH-2026-175-02013,1,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,GOP Counterpart
DPWH-2026-140-01605,2026,NEP,DPWH,Cordillera Administrative Region (CAR),,,,,Basic Infrastructure   Program ( BIP ) - Access Roads and or Bridges from the National Roads / connecting to Indigenous People ( IP ) Communities,road,228000000.0,"₱228,000,000",region_only,specific,0.77,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,853,140,regional_summary,DPWH-2026-140-01602,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Cordillera Administrative Region (CAR)
DPWH-2026-108-01289,2026,NEP,DPWH,Region V - Bicol,,,,,Construction /   Improvement of Access Roads leading to Seaports,road,227500000.0,"₱227,500,000",region_only,specific,0.74,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,821,108,regional_summary,DPWH-2026-108-01282,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region V - Bicol
DPWH-2026-108-01290,2026,NEP,DPWH,Region V - Bicol,,,,Albay 1st District Engineering Office,Construction /   Improvement of Access Roads leading to Seaports,road,227500000.0,"₱227,500,000",clear,specific,0.76,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,821,108,office_allocation,DPWH-2026-108-01289,1,source_linked,Coordinate-extracted from the official PDF; check the source page before interpretation.,Albay 1st District Engineering Office
DPWH-2026-124-01492,2026,NEP,DPWH,Negros Island Region,,,,Negros Occidental 3rd District Engineering Office,Special Road Fund - Motor Vehicle User's Charge ( MVUC ) as per R.A. 11239,road,223905000.0,"₱223,905,000",clear,broad,0.68,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,837,124,office_allocation,DPWH-2026-124-01488,1,source_linked,Coordinate-extracted from the official PDF; check the source page before interpretation.,Negros Occidental 3rd District Engineering Office
DPWH-2026-109-01301,2026,NEP,DPWH,Region I - Ilocos,,,,,Construction / Improvement of Access Roads leading to Declared Tourism Destinations,road,222000000.0,"₱222,000,000",region_only,specific,0.73,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,822,109,regional_summary,DPWH-2026-109-01298,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region I - Ilocos
DPWH-2026-083-00983,2026,NEP,DPWH,Region V - Bicol,,,,,off -   Carriageway Improvement - Tertiary Roads,road,220151000.0,"₱220,151,000",region_only,broad,0.84,Needs Manual Review,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,796,83,regional_summary,DPWH-2026-083-00964,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region V - Bicol
